epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7453,1.20197,1.61939,2.94485,0.93656,0,0.7045,0.43651,0.41903,0.29663,0.70701,0.45643,0.43213,0.26584,1.03813,1.12937,3.01103,0.85363,0,0.000329317,0.000329317,0.000329317
2,44.3312,0.98917,1.28861,1.16206,0.89316,0,0.90908,0.61151,0.70997,0.55308,0.90908,0.61151,0.71358,0.42424,0.87162,1.14215,1.14962,0.87182,0,0.00065937,0.00065937,0.00065937
3,64.6211,0.9116,1.18657,0.89408,0.8746,0,0.90305,0.70093,0.73225,0.55488,0.90305,0.70093,0.7158,0.44832,0.67902,1.17279,0.72715,0.83264,0,0.000986124,0.000986124,0.000986124
4,84.8898,0.81683,1.15101,0.79019,0.86236,0,0.79405,0.74369,0.81088,0.60806,0.78103,0.7298,0.75588,0.44141,0.58635,1.38831,0.5525,0.83339,0,0.00098515,0.00098515,0.00098515
5,105.099,0.79154,1.10842,0.73924,0.86314,0,0.85475,0.81825,0.83686,0.58887,0.8186,0.77371,0.76569,0.45524,0.60502,1.42137,0.5468,0.82395,0,0.0009802,0.0009802,0.0009802
6,125.099,0.7693,1.04872,0.7013,0.85954,0,0.83453,0.79756,0.8348,0.60803,0.78881,0.76975,0.75053,0.4863,0.61276,1.49998,0.55486,0.84325,0,0.00097525,0.00097525,0.00097525
7,145.261,0.75349,1.04718,0.67556,0.85504,0,0.84612,0.85364,0.85113,0.61886,0.78415,0.76645,0.73205,0.45996,0.52888,1.6012,0.48262,0.83454,0,0.0009703,0.0009703,0.0009703
8,165.306,0.71206,1.01157,0.64966,0.85085,0,0.88842,0.83099,0.82474,0.612,0.81123,0.76106,0.73806,0.47498,0.61388,1.63004,0.51386,0.84019,0,0.00096535,0.00096535,0.00096535
9,185.694,0.71826,0.98727,0.638,0.8493,0,0.86869,0.86397,0.85882,0.60919,0.78526,0.78976,0.75759,0.48243,0.55444,1.28884,0.48737,0.81868,0,0.0009604,0.0009604,0.0009604
10,205.882,0.69284,0.97912,0.62437,0.84564,0,0.83291,0.87202,0.86816,0.62909,0.72986,0.77331,0.71785,0.449,0.50977,1.47924,0.52306,0.82317,0,0.00095545,0.00095545,0.00095545
11,225.964,0.66655,0.94625,0.60247,0.84,0,0.88398,0.86732,0.87252,0.64521,0.82321,0.74853,0.75842,0.47517,0.50453,1.69875,0.47442,0.82986,0,0.0009505,0.0009505,0.0009505
12,246.04,0.67103,0.91868,0.60147,0.84518,0,0.82725,0.84402,0.84945,0.64538,0.76399,0.76645,0.74652,0.49128,0.53328,1.99603,0.45586,0.84267,0,0.00094555,0.00094555,0.00094555
13,266.425,0.66515,0.97312,0.58491,0.84113,0,0.88215,0.87293,0.8434,0.62296,0.77463,0.77948,0.73055,0.43274,0.51658,1.71484,0.43163,0.83186,0,0.0009406,0.0009406,0.0009406
14,286.189,0.65806,0.93567,0.57379,0.84003,0,0.86908,0.87968,0.86904,0.63372,0.76699,0.78366,0.7472,0.47352,0.4863,1.7461,0.46531,0.82703,0,0.00093565,0.00093565,0.00093565
15,306.198,0.66913,0.94652,0.5749,0.83973,0,0.87641,0.86137,0.84902,0.6434,0.77265,0.7764,0.74519,0.47411,0.5142,1.45778,0.46047,0.83298,0,0.0009307,0.0009307,0.0009307
16,326.17,0.64316,0.88002,0.54825,0.8315,0,0.88628,0.84432,0.84225,0.63444,0.78132,0.73619,0.73607,0.47282,0.47324,1.58653,0.47172,0.81807,0,0.00092575,0.00092575,0.00092575
17,346.233,0.64588,0.92027,0.54852,0.8358,0,0.87186,0.84041,0.84486,0.62236,0.74545,0.74137,0.69329,0.45969,0.51184,1.44931,0.47748,0.8289,0,0.0009208,0.0009208,0.0009208
18,366.429,0.63743,0.8756,0.54352,0.83369,0,0.86874,0.86561,0.86515,0.6395,0.76541,0.77071,0.74407,0.45638,0.4911,1.76183,0.44388,0.82586,0,0.00091585,0.00091585,0.00091585
19,386.467,0.63949,0.87482,0.54148,0.83548,0,0.85145,0.8471,0.84928,0.64916,0.7577,0.75462,0.7389,0.47387,0.48645,1.92309,0.45753,0.83744,0,0.0009109,0.0009109,0.0009109
20,406.808,0.63371,0.90358,0.53096,0.83523,0,0.85945,0.86431,0.86522,0.64004,0.78197,0.78233,0.75223,0.49839,0.50469,2.01559,0.42558,0.83775,0,0.00090595,0.00090595,0.00090595
21,427.02,0.62043,0.85121,0.51501,0.83105,0,0.81974,0.88256,0.86406,0.64918,0.7677,0.82766,0.77743,0.4981,0.42439,1.78876,0.4016,0.82369,0,0.000901,0.000901,0.000901
22,447.367,0.6103,0.88256,0.51584,0.82896,0,0.88447,0.88469,0.85662,0.63799,0.80504,0.81678,0.75115,0.47033,0.4671,1.74092,0.44203,0.83294,0,0.00089605,0.00089605,0.00089605
23,467.407,0.61488,0.85209,0.51273,0.82791,0,0.83114,0.89836,0.85666,0.65529,0.80383,0.80363,0.77156,0.4723,0.42332,1.73854,0.41484,0.82578,0,0.0008911,0.0008911,0.0008911
24,487.692,0.61403,0.85074,0.50666,0.82625,0,0.87966,0.86618,0.85979,0.64713,0.76048,0.76846,0.73188,0.47441,0.46296,1.65495,0.41729,0.84185,0,0.00088615,0.00088615,0.00088615
25,507.762,0.58244,0.81135,0.48395,0.82413,0,0.85637,0.87329,0.87623,0.65903,0.76502,0.79078,0.76314,0.50036,0.45249,1.88361,0.42465,0.83143,0,0.0008812,0.0008812,0.0008812
26,528.071,0.59541,0.84126,0.48698,0.82243,0,0.82621,0.83226,0.82851,0.65244,0.76219,0.75584,0.73761,0.47776,0.38861,1.54136,0.41591,0.81814,0,0.00087625,0.00087625,0.00087625
27,548.076,0.57623,0.80503,0.48129,0.82294,0,0.81706,0.83275,0.81978,0.62893,0.78076,0.76679,0.74205,0.47464,0.4658,1.732,0.42149,0.82786,0,0.0008713,0.0008713,0.0008713
28,568.393,0.5938,0.86425,0.48978,0.82567,0,0.85677,0.86472,0.85698,0.65189,0.75253,0.76101,0.73904,0.47817,0.38688,1.49321,0.4049,0.80947,0,0.00086635,0.00086635,0.00086635
